"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","EBS Optimized surcharge"
"M2 High Memory Quadruple Extra Large","m2.4xlarge","68.4 GB","26 units","8 vCPUs","0","0","3.25 units","1680 GB               (2 * 840 GB HDD)","No","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","240","No","No","No","No","PV","$1.100 hourly","$0.536 hourly","$1.380 hourly","$1.252 hourly","$1.7 hourly","$1.245 hourly","$2.976 hourly","$1.887 hourly","$0.05 hourly"
"I2 Double Extra Large","i2.2xlarge","61.0 GB","27 units","8 vCPUs","0","0","3.375 units","1600 GB               (2 * 800 GB SSD)","Yes","Yes","64-bit","Moderate","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","Yes","Yes","HVM","$1.876 hourly","$1.030 hourly","$1.946 hourly","$1.414 hourly","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$0.05 hourly"
"M4 Double Extra Large","m4.2xlarge","32.0 GB","26 units","8 vCPUs","0","0","3.25 units","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.444 hourly","$0.302 hourly","$0.812 hourly","$0.670 hourly","$0.9 hourly","$0.689 hourly","$1.728 hourly","$1.576 hourly","$0.00 hourly"
"M3 General Purpose Double Extra Large","m3.2xlarge","30.0 GB","26 units","8 vCPUs","0","0","3.25 units","160 GB               (2 * 80 GB SSD)","No","No","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","120","No","No","No","No","HVM, PV","$0.585 hourly","$0.441 hourly","$1.033 hourly","$0.912 hourly","$1.468 hourly","$0.957 hourly","$2.532 hourly","$1.661 hourly","$0.05 hourly"
"C4 High-CPU Double Extra Large","c4.2xlarge","15.0 GB","31 units","8 vCPUs","0","0","3.875 units","EBS only","N/A","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.453 hourly","$0.311 hourly","$0.821 hourly","$0.679 hourly","$1.296 hourly","$0.761 hourly","$3.019 hourly","$2.525 hourly","$0.00 hourly"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GB","28 units","8 vCPUs","0","0","3.5 units","160 GB               (2 * 80 GB SSD)","No","No","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","No","Yes","Yes","HVM, PV","$0.478 hourly","$0.360 hourly","$0.752 hourly","$0.741 hourly","$1.083 hourly","$0.771 hourly","$2.131 hourly","$1.542 hourly","$0.05 hourly"
"G2 Double Extra Large","g2.2xlarge","15.0 GB","26 units","8 vCPUs","1","0","3.25 units","60 GB               SSD","No","No","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","No","No","No","Yes","HVM","$0.702 hourly","$0.514 hourly","$0.767 hourly","$0.611 hourly","$0.957 hourly","$0.775 hourly","$3.816 hourly","$3.754 hourly","$0.05 hourly"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GB","26 units","8 vCPUs","0","0","3.25 units","160 GB               SSD","Yes","Yes","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$0.741 hourly","$0.543 hourly","$1.080 hourly","$0.900 hourly","$1.52 hourly","$1.069 hourly","$2.74 hourly","$2.412 hourly","$0.05 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GB","28 units","8 vCPUs","0","0","3.5 units","12000 GB               (6 * 2000 GB HDD)","Yes","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","No","Yes","Yes","HVM","$1.470 hourly","$0.894 hourly","$1.691 hourly","$0.974 hourly","unavailable","unavailable","unavailable","unavailable","$0.00 hourly"
"R4 High-Memory Double Extra Large","r4.2xlarge","61.0 GB","27 units","8 vCPUs","0","0","3.375 units","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.0 MB/s","12000.0 IOPS","60","Yes","Yes","Yes","Yes","HVM","$0.593 hourly","$0.374 hourly","$0.961 hourly","$0.742 hourly","$0.787 hourly","$0.628 hourly","$1.843 hourly","$1.664 hourly","0"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GB","27 units","8 vCPUs","0","0","3.375 units","1900 GB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","200.0 MB/s","12000.0 IOPS","60","Yes","Yes","Yes","Yes","Unknown","$0.688 hourly","$0.470 hourly","$1.056 hourly","$0.838 hourly","$1.133 hourly","$0.937 hourly","$1.952 hourly","$1.756 hourly","0"
"F1 Double Extra Large","f1.2xlarge","122.0 GB","26 units","8 vCPUs","0","1","3.25 units","470 GB               NVMe SSD","Yes","Yes","64-bit","High","1700.0 Mbps","200.0 MB/s","12000.0 IOPS","60","Yes","No","Yes","Yes","Unknown","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
