"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB T2","db.t2.micro","1 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.024 hourly","unavailable","$0.024 hourly","unavailable","$0.038 hourly","unavailable","$0.026 hourly","unavailable","$0.030 hourly","unavailable"
"DB T2","db.t2.small","2 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","$0.059 hourly","unavailable","$0.049 hourly","unavailable","$0.049 hourly","unavailable","$0.049 hourly","unavailable","$0.053 hourly","unavailable","$0.058 hourly","unavailable"
"DB T2","db.t2.medium","4 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","$0.118 hourly","unavailable","$0.098 hourly","unavailable","$0.098 hourly","unavailable","$0.098 hourly","unavailable","$0.106 hourly","unavailable","$0.429 hourly","unavailable"
"DB T2","db.t2.large","8 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.199 hourly","unavailable","$0.199 hourly","unavailable","$0.199 hourly","unavailable","$0.212 hourly","unavailable","$0.241 hourly","unavailable"
"DB R3","db.r3.large","15.25 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","2 vCPUs","Moderate","64-bit","$0.330 hourly","unavailable","$0.270 hourly","unavailable","$0.270 hourly","unavailable","$0.491 hourly","unavailable","$0.285 hourly","unavailable","$0.365 hourly","unavailable"
"DB M4","db.m4.xlarge","16 GB","0 GB (EBS only)","750 Mbps","Intel Xeon E5-2676 v3 (Haswell)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.492 hourly","unavailable","$0.492 hourly","unavailable","$0.492 hourly","unavailable","$0.514 hourly","unavailable","$0.736 hourly","unavailable"
"DB M4","db.m4.large","8 GB","0 GB (EBS only)","450 Mbps","Intel Xeon E5-2676 v3 (Haswell)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.245 hourly","unavailable","$0.245 hourly","unavailable","$0.513 hourly","unavailable","$0.257 hourly","unavailable","$1.078 hourly","unavailable"
"DB R3","db.r3.xlarge","30.5 GB","1 x 80 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","4 vCPUs","Moderate","64-bit","$0.660 hourly","unavailable","$0.541 hourly","unavailable","$0.541 hourly","unavailable","$0.541 hourly","unavailable","$0.569 hourly","unavailable","$0.729 hourly","unavailable"
"DB R3","db.r3.2xlarge","61 GB","1 x 160 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","8 vCPUs","High","64-bit","$1.320 hourly","unavailable","$1.078 hourly","unavailable","$1.078 hourly","unavailable","$1.938 hourly","unavailable","$1.135 hourly","unavailable","$2.866 hourly","unavailable"
"DB M4","db.m4.4xlarge","64 GB","0 GB (EBS only)","2000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","16 vCPUs","High","64-bit","unavailable","unavailable","$1.975 hourly","unavailable","$1.975 hourly","unavailable","$1.975 hourly","unavailable","$2.060 hourly","unavailable","$2.725 hourly","unavailable"
"DB M4","db.m4.2xlarge","32 GB","0 GB (EBS only)","1000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","8 vCPUs","High","64-bit","unavailable","unavailable","$0.986 hourly","unavailable","$0.986 hourly","unavailable","$2.055 hourly","unavailable","$1.029 hourly","unavailable","$1.362 hourly","unavailable"
"DB R3","db.r3.4xlarge","122 GB","1 x 320 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","16 vCPUs","High","64-bit","$2.640 hourly","unavailable","$2.156 hourly","unavailable","$2.156 hourly","unavailable","$4.159 hourly","unavailable","$2.270 hourly","unavailable","$2.895 hourly","unavailable"
"DB R3","db.r3.8xlarge","244 GB","2 x 320 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","32 vCPUs","10 Gigabit","64-bit","$5.280 hourly","unavailable","$4.312 hourly","unavailable","$4.312 hourly","unavailable","$4.312 hourly","unavailable","$4.535 hourly","unavailable","$5.625 hourly","unavailable"
"DB M4","db.m4.10xlarge","160 GB","0 GB (EBS only)","4000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","40 vCPUs","10 Gigabit","64-bit","unavailable","unavailable","$4.937 hourly","unavailable","$4.937 hourly","unavailable","$4.937 hourly","unavailable","$5.151 hourly","unavailable","$6.814 hourly","unavailable"
"DB T1","db.t1.micro","0.613 GB","0 GB (EBS only)","N/A","Variable","1 vCPUs","Very Low","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M1","db.m1.small","1.7 GB","1 x 160","N/A","Intel Xeon Family","1 vCPUs","Low","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M3","db.m3.medium","3.75 GB","1 x 4 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","1 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M1","db.m1.medium","3.75 GB","1 x 410","N/A","Intel Xeon Family","1 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M1","db.m1.large","7.5 GB","2 x 420","N/A","Intel Xeon Family","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
