"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB T1","db.t1.micro","0.613 GB","0 GB (EBS only)","N/A","Variable","1 vCPUs","Very Low","64-bit","unavailable","unavailable","unavailable","unavailable","$0.030 hourly","unavailable","$0.030 hourly","unavailable","$0.032 hourly","unavailable","$0.040 hourly","unavailable"
"DB T2","db.t2.micro","1 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.026 hourly","unavailable","$0.026 hourly","unavailable","$0.041 hourly","unavailable","$0.028 hourly","unavailable","$0.031 hourly","unavailable"
"DB T2","db.t2.small","2 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","$0.063 hourly","unavailable","$0.052 hourly","unavailable","$0.052 hourly","unavailable","$0.052 hourly","unavailable","$0.056 hourly","unavailable","$0.062 hourly","unavailable"
"DB M1","db.m1.small","1.7 GB","1 x 160","N/A","Intel Xeon Family","1 vCPUs","Low","64-bit","unavailable","unavailable","unavailable","unavailable","$0.075 hourly","unavailable","$0.075 hourly","unavailable","$0.070 hourly","unavailable","$0.105 hourly","unavailable"
"DB T2","db.t2.medium","4 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","$0.125 hourly","unavailable","$0.104 hourly","unavailable","$0.104 hourly","unavailable","$0.104 hourly","unavailable","$0.112 hourly","unavailable","$0.124 hourly","unavailable"
"DB M1","db.m1.medium","3.75 GB","1 x 410","N/A","Intel Xeon Family","1 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","$0.145 hourly","unavailable","$0.145 hourly","unavailable","$0.145 hourly","unavailable","$0.200 hourly","unavailable"
"DB M3","db.m3.large","7.5 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.240 hourly","unavailable","$0.240 hourly","unavailable","$0.240 hourly","unavailable","$0.240 hourly","unavailable","$0.840 hourly","unavailable"
"DB M4","db.m4.large","8 GB","0 GB (EBS only)","450 Mbps","Intel Xeon E5-2676 v3 (Haswell)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.254 hourly","unavailable","$0.254 hourly","unavailable","$0.254 hourly","unavailable","$0.265 hourly","unavailable","$0.355 hourly","unavailable"
"DB M3","db.m3.medium","3.75 GB","1 x 4 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","1 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.120 hourly","unavailable","$0.120 hourly","unavailable","$0.263 hourly","unavailable","$0.120 hourly","unavailable","$0.170 hourly","unavailable"
"DB R3","db.r3.large","15.25 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","2 vCPUs","Moderate","64-bit","$0.350 hourly","unavailable","$0.285 hourly","unavailable","$0.285 hourly","unavailable","$0.285 hourly","unavailable","$0.300 hourly","unavailable","$1.050 hourly","unavailable"
