"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB T2","db.t2.small","2 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","$0.047 hourly","unavailable","$0.038 hourly","unavailable","$0.038 hourly","unavailable","$0.038 hourly","unavailable","$0.041 hourly","unavailable","$0.048 hourly","unavailable"
"DB T2","db.t2.micro","1 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.019 hourly","unavailable","$0.019 hourly","unavailable","$0.041 hourly","unavailable","$0.021 hourly","unavailable","$0.024 hourly","unavailable"
"DB T2","db.t2.medium","4 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","$0.093 hourly","unavailable","$0.077 hourly","unavailable","$0.077 hourly","unavailable","$0.151 hourly","unavailable","$0.082 hourly","unavailable","$0.308 hourly","unavailable"
"DB M4","db.m4.large","8 GB","0 GB (EBS only)","450 Mbps","Intel Xeon E5-2676 v3 (Haswell)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.203 hourly","unavailable","$0.203 hourly","unavailable","$0.203 hourly","unavailable","$0.211 hourly","unavailable","$0.347 hourly","unavailable"
"DB T2","db.t2.large","8 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.153 hourly","unavailable","$0.153 hourly","unavailable","$0.334 hourly","unavailable","$0.164 hourly","unavailable","$0.196 hourly","unavailable"
"DB M4","db.m4.xlarge","16 GB","0 GB (EBS only)","750 Mbps","Intel Xeon E5-2676 v3 (Haswell)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.405 hourly","unavailable","$0.405 hourly","unavailable","$0.405 hourly","unavailable","$0.423 hourly","unavailable","$0.605 hourly","unavailable"
"DB M4","db.m4.2xlarge","32 GB","0 GB (EBS only)","1000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","8 vCPUs","High","64-bit","unavailable","unavailable","$0.811 hourly","unavailable","$0.811 hourly","unavailable","$0.811 hourly","unavailable","$0.846 hourly","unavailable","$1.233 hourly","unavailable"
"DB M4","db.m4.4xlarge","64 GB","0 GB (EBS only)","2000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","16 vCPUs","High","64-bit","unavailable","unavailable","$1.622 hourly","unavailable","$1.622 hourly","unavailable","$1.622 hourly","unavailable","$1.693 hourly","unavailable","$2.513 hourly","unavailable"
"DB M4","db.m4.10xlarge","160 GB","0 GB (EBS only)","4000 Mbps","Intel Xeon E5-2676 v3 (Haswell)","40 vCPUs","10 Gigabit","64-bit","unavailable","unavailable","$4.057 hourly","unavailable","$4.057 hourly","unavailable","$4.057 hourly","unavailable","$4.233 hourly","unavailable","$6.460 hourly","unavailable"
"DB T1","db.t1.micro","0.613 GB","0 GB (EBS only)","N/A","Variable","1 vCPUs","Very Low","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M1","db.m1.small","1.7 GB","1 x 160","N/A","Intel Xeon Family","1 vCPUs","Low","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M3","db.m3.medium","3.75 GB","1 x 4 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","1 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M3","db.m3.large","7.5 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB R3","db.r3.large","15.25 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","2 vCPUs","Moderate","64-bit","$0.340 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M1","db.m1.medium","3.75 GB","1 x 410","N/A","Intel Xeon Family","1 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M3","db.m3.xlarge","15 GB","2 x 40 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","4 vCPUs","High","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M1","db.m1.xlarge","15 GB","4 x 420","N/A","Intel Xeon Family","4 vCPUs","High","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M1","db.m1.large","7.5 GB","2 x 420","N/A","Intel Xeon Family","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"DB M2","db.m2.xlarge","17.1 GB","1 x 420","N/A","Intel Xeon Family","2 vCPUs","Moderate","64-bit","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
