"Name","API Name","Memory","Storage","EBS Throughput","Processor","vCPUs","Network Performance","Arch","Amazon Aurora On Demand cost","Amazon Aurora Reserved cost","MariaDB On Demand cost","MariaDB Reserved cost","MySQL On Demand cost","MySQL Reserved cost","Oracle On Demand cost","Oracle Reserved cost","PostgreSQL On Demand cost","PostgreSQL Reserved cost","SQL Server On Demand cost","SQL Server Reserved cost"
"DB T2","db.t2.micro","1 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.020 hourly","unavailable","$0.020 hourly","unavailable","$0.038 hourly","unavailable","$0.025 hourly","unavailable","$0.025 hourly","unavailable"
"DB T2","db.t2.small","2 GB","0 GB (EBS only)","N/A","Intel Xeon Family","1 vCPUs","Low to Moderate","64-bit","$0.048 hourly","unavailable","$0.040 hourly","unavailable","$0.040 hourly","unavailable","$0.040 hourly","unavailable","$0.045 hourly","unavailable","$0.160 hourly","unavailable"
"DB M3","db.m3.medium","3.75 GB","1 x 4 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","1 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.105 hourly","unavailable","$0.105 hourly","unavailable","$0.105 hourly","unavailable","$0.115 hourly","unavailable","$0.165 hourly","unavailable"
"DB T2","db.t2.large","8 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","unavailable","unavailable","$0.157 hourly","unavailable","$0.157 hourly","unavailable","$0.157 hourly","unavailable","$0.168 hourly","unavailable","$0.198 hourly","unavailable"
"DB T2","db.t2.medium","4 GB","0 GB (EBS only)","N/A","Intel Xeon Family","2 vCPUs","Low to Moderate","64-bit","$0.096 hourly","unavailable","$0.080 hourly","unavailable","$0.080 hourly","unavailable","$0.163 hourly","unavailable","$0.085 hourly","unavailable","$0.105 hourly","unavailable"
"DB M4","db.m4.large","8 GB","0 GB (EBS only)","450 Mbps","Intel Xeon E5-2676 v3 (Haswell)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.208 hourly","unavailable","$0.208 hourly","unavailable","$0.208 hourly","unavailable","$0.217 hourly","unavailable","$0.336 hourly","unavailable"
"DB M4","db.m4.xlarge","16 GB","0 GB (EBS only)","750 Mbps","Intel Xeon E5-2676 v3 (Haswell)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.417 hourly","unavailable","$0.417 hourly","unavailable","$0.417 hourly","unavailable","$0.435 hourly","unavailable","$1.291 hourly","unavailable"
"DB M3","db.m3.xlarge","15 GB","2 x 40 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","4 vCPUs","High","64-bit","unavailable","unavailable","$0.435 hourly","unavailable","$0.435 hourly","unavailable","$0.435 hourly","unavailable","$0.455 hourly","unavailable","$0.910 hourly","unavailable"
"DB R3","db.r3.large","15.25 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge)","2 vCPUs","Moderate","64-bit","$0.350 hourly","unavailable","$0.290 hourly","unavailable","$0.290 hourly","unavailable","$0.560 hourly","unavailable","$0.305 hourly","unavailable","$0.400 hourly","unavailable"
"DB M3","db.m3.large","7.5 GB","1 x 32 SSD","N/A","Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge)","2 vCPUs","Moderate","64-bit","unavailable","unavailable","$0.220 hourly","unavailable","$0.220 hourly","unavailable","$0.570 hourly","unavailable","$0.230 hourly","unavailable","$0.870 hourly","unavailable"
